language,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
I26,s4459340,+,-,-,-,+,-,-,-,-,-,-,+,-,+,+,-,+,-,-,+,+,-,-
I26,s2561476,-,+,-,-,+,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,+,-,-
I26,s2480983,-,+,-,-,+,-,+,+,+,-,+,+,-,+,+,-,+,-,+,-,+,+,+
I26,s3356624,-,+,+,-,-,+,+,-,-,+,+,-,+,+,+,+,+,-,+,-,-,-,-
I26,s1055447,-,-,+,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,+,-,+,+,+
I26,s7780192,+,+,+,-,+,+,-,+,-,+,+,-,+,+,+,-,+,+,-,-,-,-,-
I26,s2575419,-,+,-,-,+,+,+,-,+,-,-,+,+,-,-,-,-,+,+,+,-,+,+
I26,s7984581,+,+,+,+,-,-,+,+,+,-,+,-,+,-,+,+,+,-,-,-,+,-,+
I26,s7169618,+,+,-,+,+,-,+,-,+,+,-,-,+,+,-,-,+,-,+,-,-,+,-
I26,s705475,-,-,-,+,-,+,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+
