,Language_Name,Num_Segments,Sum_Balance,Num_Contrastive_Features,Order_Name,Sum_Balance_1,Sum_Balance_2,Sum_Balance_3,Sum_Balance_4,Sum_Balance_5,Sum_Balance_6,Sum_Balance_7,Sum_Balance_8,Sum_Balance_9,Sum_Balance_10,Sum_Balance_11,Sum_Balance_12,Sum_Balance_13,Sum_Balance_14,Sum_Balance_15,Sum_Balance_16,Sum_Balance_17,Sum_Balance_18,Sum_Balance_19,Sum_Balance_20,Sum_Balance_21,Sum_Balance_22,Sum_Balance_23,Sum_Balance_24,Sum_Balance_25,Sum_Balance_26,Sum_Balance_27,Sum_Balance_28,Sum_Balance_29,Feature_Depth_1,Feature_Depth_2,Feature_Depth_3,Feature_Depth_4,Feature_Depth_5,Feature_Depth_6,Feature_Depth_7,Feature_Depth_8,Feature_Depth_9,Feature_Depth_10,Feature_Depth_11,Feature_Depth_12,Feature_Depth_13,Feature_Depth_14,Feature_Depth_15,Feature_Depth_16,Feature_Depth_17,Feature_Depth_18,Feature_Depth_19,Feature_Depth_20,Feature_Depth_21,Feature_Depth_22,Feature_Depth_23,Feature_Depth_24,Feature_Depth_25,Feature_Depth_26,Feature_Depth_27,Feature_Depth_28,Feature_Depth_29,Subinventory_Size_1,Subinventory_Size_2,Subinventory_Size_3,Subinventory_Size_4,Subinventory_Size_5,Subinventory_Size_6,Subinventory_Size_7,Subinventory_Size_8,Subinventory_Size_9,Subinventory_Size_10,Subinventory_Size_11,Subinventory_Size_12,Subinventory_Size_13,Subinventory_Size_14,Subinventory_Size_15,Subinventory_Size_16,Subinventory_Size_17,Subinventory_Size_18,Subinventory_Size_19,Subinventory_Size_20,Subinventory_Size_21,Subinventory_Size_22,Subinventory_Size_23,Subinventory_Size_24,Subinventory_Size_25,Subinventory_Size_26,Subinventory_Size_27,Subinventory_Size_28,Subinventory_Size_29,Sum_Balance_By_Feature_Height1,Sum_Balance_By_Feature_Height2,Sum_Balance_By_Feature_Height29,Sum_Balance_By_Feature_Height28,Sum_Balance_By_Feature_Height8,Sum_Balance_By_Feature_Height16,Sum_Balance_By_Feature_Height10,Sum_Balance_By_Feature_Height14,Sum_Balance_By_Feature_Height20,Sum_Balance_By_Feature_Height12,Sum_Balance_By_Feature_Height7,Sum_Balance_By_Feature_Height21,Sum_Balance_By_Feature_Height13,Sum_Balance_By_Feature_Height5,Sum_Balance_By_Feature_Height26,Sum_Balance_By_Feature_Height6,Sum_Balance_By_Feature_Height11,Sum_Balance_By_Feature_Height25,Sum_Balance_By_Feature_Height4,Sum_Balance_By_Feature_Height22,Sum_Balance_By_Feature_Height15,Sum_Balance_By_Feature_Height3,Sum_Balance_By_Feature_Height27,Sum_Balance_By_Feature_Height18,Sum_Balance_By_Feature_Height24,Sum_Balance_By_Feature_Height17,Sum_Balance_By_Feature_Height19,Sum_Balance_By_Feature_Height23,Sum_Balance_By_Feature_Height9
30,I4,3,1,2,O1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,I4,3,1,2,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
32,I4,3,1,2,O3,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,
33,I4,3,1,2,O4,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
34,I4,3,1,2,O5,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,
35,I4,3,1,2,O6,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
36,I4,3,1,2,O7,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,
37,I4,3,1,2,O8,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,
38,I4,3,1,2,O9,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,
39,I4,3,1,2,O10,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,
40,I5,3,1,2,O1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
41,I5,3,1,2,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
42,I5,3,1,2,O3,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
43,I5,3,1,2,O4,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
44,I5,3,1,2,O5,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
45,I5,3,1,2,O6,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,
46,I5,3,1,2,O7,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,
47,I5,3,1,2,O8,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,
48,I5,3,1,2,O9,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,
49,I5,3,1,2,O10,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
50,I6,3,1,2,O1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,I6,3,1,2,O2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
52,I6,3,1,2,O3,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,
53,I6,3,1,2,O4,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,
54,I6,3,1,2,O5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,
55,I6,3,1,2,O6,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
56,I6,3,1,2,O7,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,
57,I6,3,1,2,O8,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,
58,I6,3,1,2,O9,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,
59,I6,3,1,2,O10,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,
60,I7,3,1,2,O1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,
61,I7,3,1,2,O2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
62,I7,3,1,2,O3,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,
63,I7,3,1,2,O4,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
64,I7,3,1,2,O5,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
65,I7,3,1,2,O6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
66,I7,3,1,2,O7,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,
67,I7,3,1,2,O8,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,
68,I7,3,1,2,O9,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,
69,I7,3,1,2,O10,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,
70,I8,3,1,2,O1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
71,I8,3,1,2,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
72,I8,3,1,2,O3,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,
73,I8,3,1,2,O4,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,
74,I8,3,1,2,O5,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
75,I8,3,1,2,O6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,
76,I8,3,1,2,O7,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,
77,I8,3,1,2,O8,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,
