"SEGMENT","ALTERNATE_NAMES","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"S2","I39","+","+","-","+","+","-","+","+","-","+","+","-","-","-","+","+","-","+","+","-","+","-","-","+","+","+","+","+","+"
"S3","I39","+","-","+","+","-","+","+","+","+","+","+","-","+","+","-","-","-","-","+","-","-","-","-","-","+","-","+","+","+"
"S4","I39","+","+","-","-","-","-","+","+","+","+","+","+","-","+","-","+","+","-","+","-","+","-","-","-","-","-","-","-","-"
"S1","I40","-","+","+","-","-","+","+","+","-","-","+","-","-","+","+","+","+","-","+","+","+","-","-","+","+","+","+","+","+"
"S2","I40","-","-","+","+","+","-","-","+","-","+","-","+","+","+","-","+","+","+","-","-","+","-","-","+","-","+","+","-","+"
"S3","I40","+","+","+","-","-","-","-","+","+","+","-","-","-","-","-","+","-","-","+","+","+","-","-","-","-","-","-","-","+"
"S4","I40","-","+","-","+","+","-","-","+","-","+","+","+","+","+","-","+","-","+","+","-","+","+","+","+","-","-","+","+","+"
"S1","I41","-","+","-","-","+","+","+","+","-","-","-","-","-","-","+","-","+","-","+","+","-","-","+","-","+","+","-","+","+"
"S2","I41","+","-","+","-","+","-","+","+","-","+","+","-","+","+","-","+","+","-","+","+","-","-","-","+","-","-","-","+","+"
"S3","I41","+","+","+","+","+","+","-","-","-","-","+","+","+","+","+","-","-","+","+","+","+","-","+","-","+","-","+","+","-"
"S4","I41","-","+","+","-","-","+","+","+","+","-","+","+","-","-","+","-","+","-","+","-","-","-","+","-","+","-","+","-","+"
"S1","I42","+","+","-","-","+","+","+","+","+","-","-","+","+","+","-","-","+","+","+","+","-","+","+","+","-","+","-","-","+"
"S2","I42","-","+","+","+","-","+","-","+","+","-","-","-","+","-","+","-","+","-","-","-","-","-","+","+","-","-","+","-","+"
"S3","I42","+","+","-","+","-","-","+","-","-","-","+","+","+","+","-","+","+","-","-","-","+","+","-","-","-","+","+","+","+"
"S4","I42","-","+","-","+","+","+","+","-","-","-","+","+","+","-","+","+","+","+","+","-","-","+","-","-","-","-","-","+","+"
"S1","I43","+","+","+","+","-","-","+","-","-","-","+","+","-","+","-","+","+","-","-","+","+","+","+","-","+","+","+","-","-"
"S2","I43","-","-","+","+","+","-","+","+","-","-","+","+","+","-","+","+","+","-","+","+","+","-","+","-","-","+","+","-","-"
"S3","I43","+","-","+","+","+","+","+","-","+","+","+","-","-","+","+","-","+","-","-","-","-","+","+","+","+","+","+","-","+"
"S4","I43","-","-","+","-","+","-","-","-","-","-","+","-","+","-","-","-","-","-","-","-","+","-","+","+","-","+","-","+","-"
"S1","I44","-","+","+","+","-","+","+","+","+","-","-","-","-","+","+","+","-","+","+","-","+","+","-","+","-","-","-","-","+"
"S2","I44","+","-","+","-","+","+","+","-","+","-","+","+","-","-","-","+","+","+","+","-","+","+","-","-","+","-","-","+","-"
"S3","I44","-","+","-","-","+","+","+","+","-","+","+","-","+","-","-","-","+","-","+","-","-","+","-","+","-","-","-","-","+"
"S4","I44","+","+","-","-","-","+","-","+","-","-","+","-","+","+","-","-","+","-","-","+","+","-","+","+","-","+","+","-","-"
"S1","I45","+","+","+","+","-","-","+","+","-","+","-","+","+","-","+","-","-","+","+","-","-","-","+","-","+","+","+","-","-"
"S2","I45","+","-","+","+","+","+","-","-","+","-","-","+","+","-","-","-","+","+","-","-","-","+","-","+","-","+","-","+","-"
"S3","I45","-","+","+","+","+","+","+","-","+","-","+","-","-","+","+","+","+","-","-","+","-","+","+","+","+","+","-","-","+"
"S4","I45","-","-","+","+","-","-","+","-","-","+","-","+","+","+","+","-","-","+","+","+","-","-","+","+","+","-","+","+","-"
"S1","I46","-","-","-","+","+","+","-","+","-","-","-","+","-","-","-","+","+","-","-","+","+","-","-","+","-","-","-","+","+"
"S2","I46","+","-","-","-","-","+","+","+","+","-","-","-","-","+","-","-","-","-","-","-","-","+","-","+","+","-","-","+","-"
"S3","I46","-","-","+","-","+","+","+","+","-","-","-","+","-","+","+","-","-","+","-","-","+","-","+","-","-","-","-","-","-"
"S4","I46","+","-","-","+","+","+","+","+","-","+","-","+","-","+","+","-","+","+","+","-","-","-","+","+","-","-","+","+","-"
"S1","I47","+","+","+","-","-","-","-","+","-","+","-","+","+","-","-","-","+","-","+","+","+","-","+","+","-","+","-","+","+"
"S2","I47","+","+","+","-","-","-","+","+","+","+","-","-","-","+","-","+","-","+","+","-","-","-","-","-","+","-","-","+","-"
"S3","I47","+","+","+","-","+","-","-","+","-","+","-","+","-","-","-","-","+","-","-","-","+","+","-","-","-","+","-","-","+"
"S4","I47","+","-","+","-","+","+","+","+","+","-","+","+","-","+","-","-","+","+","+","-","-","-","+","-","-","+","-","-","-"
"S1","I48","-","+","+","+","-","+","-","-","+","-","+","+","-","-","-","-","+","+","-","-","-","-","+","+","+","+","+","+","-"
"S2","I48","-","-","+","-","+","-","-","+","-","-","+","+","-","+","-","-","-","+","-","-","-","+","+","+","+","+","-","-","+"
"S3","I48","-","+","-","-","-","-","-","+","-","-","+","-","-","-","-","-","+","+","-","+","+","-","-","+","+","-","+","-","-"
"S4","I48","+","-","-","-","-","-","+","+","+","-","-","+","-","+","+","-","+","-","-","-","+","-","-","-","+","+","-","+","+"
"S1","I49","+","-","-","-","+","+","-","-","+","+","-","-","+","+","+","-","-","+","+","+","-","-","+","-","+","+","+","+","+"
"S2","I49","-","-","-","-","-","+","+","-","+","+","-","-","-","+","-","-","-","-","+","-","-","-","+","-","+","+","-","+","+"
"S3","I49","+","-","-","+","-","+","+","-","+","+","-","+","+","+","+","+","+","-","-","-","-","+","+","-","-","+","+","-","+"
"S4","I49","-","+","+","-","-","+","-","+","-","-","-","-","+","+","+","-","+","-","+","-","+","-","-","+","+","+","+","-","+"
"S5","I49","-","-","-","-","-","-","-","+","-","-","+","+","-","+","-","+","-","-","-","+","+","-","+","-","+","+","-","+","+"
"S1","I50","-","+","+","+","-","+","-","+","+","+","+","+","-","-","-","+","+","+","+","+","+","-","-","+","-","+","+","+","-"
"S2","I50","+","-","-","-","+","+","-","-","-","+","-","-","-","+","-","+","-","-","+","-","+","-","+","+","+","-","+","-","+"
"S3","I50","-","+","-","-","-","+","-","-","+","-","+","+","-","+","-","-","-","-","+","-","+","-","-","-","+","+","+","+","-"
"S4","I50","+","-","-","+","-","+","+","-","+","+","+","+","-","+","+","+","-","-","-","+","-","-","+","+","+","-","+","-","-"
"S5","I50","+","-","+","+","-","-","+","+","-","-","+","+","-","-","-","+","-","-","-","+","+","+","+","-","-","+","+","-","+"
"S1","I51","-","-","-","-","+","-","-","-","-","+","-","+","+","-","-","-","-","+","-","+","+","-","-","+","-","+","-","-","+"
"S2","I51","-","+","+","-","+","+","+","+","-","-","+","+","-","+","-","-","+","-","-","+","+","+","+","+","-","-","-","-","-"
"S3","I51","-","-","+","-","-","+","-","-","-","+","+","-","-","-","+","-","-","+","-","-","-","-","+","-","-","+","+","-","-"
"S4","I51","+","-","+","-","-","+","+","-","-","+","+","+","-","-","+","-","+","-","+","+","-","+","+","+","-","-","-","-","+"
"S5","I51","+","-","+","-","+","-","-","-","-","+","+","-","-","-","+","-","-","+","+","+","+","+","+","+","+","-","-","-","-"
"S1","I52","+","-","-","-","+","+","-","+","+","-","+","+","-","-","-","+","-","+","+","-","+","-","-","+","-","+","+","-","-"
"S2","I52","-","+","+","-","-","+","+","+","+","-","+","-","+","-","+","-","-","+","+","-","+","+","+","-","-","-","-","+","-"
"S3","I52","+","-","-","+","+","+","-","+","+","-","+","+","+","-","-","+","-","-","+","-","-","-","-","-","+","-","+","-","-"
"S4","I52","-","-","+","+","+","+","+","-","-","+","-","-","+","-","-","-","+","-","+","-","+","+","+","+","-","-","-","+","+"
"S5","I52","-","-","-","+","+","+","-","+","+","-","-","-","-","+","+","-","+","-","-","+","-","+","+","-","+","+","-","+","-"
"S1","I53","+","+","-","+","+","-","+","+","-","-","-","+","-","-","+","+","+","-","+","+","-","+","+","-","-","-","+","+","-"
"S2","I53","+","+","+","+","-","+","-","+","+","+","-","-","+","-","-","-","-","+","-","+","-","+","-","+","-","+","+","-","-"
"S3","I53","-","-","-","-","+","-","-","-","-","-","+","-","+","-","+","-","-","-","-","+","-","-","-","-","-","-","-","-","-"
"S4","I53","-","-","-","+","-","+","+","+","-","-","+","+","+","-","-","+","-","+","-","+","+","-","-","-","-","+","+","-","+"
"S5","I53","-","-","+","-","+","-","+","+","+","-","-","+","-","+","+","-","+","-","+","-","-","-","-","-","-","-","-","+","-"
"S1","I54","+","+","-","-","+","-","+","+","+","+","+","+","+","-","+","+","-","+","-","-","-","-","+","+","-","-","+","-","+"
"S2","I54","+","-","-","-","-","+","+","-","-","+","-","-","+","+","-","+","+","-","-","-","-","+","-","+","+","+","-","-","-"
"S3","I54","+","-","-","+","+","-","-","+","+","-","-","-","-","-","+","+","-","+","-","-","-","-","+","+","-","-","+","+","-"
"S4","I54","+","+","+","+","-","+","+","-","-","+","-","-","-","+","-","+","+","-","-","+","-","-","+","-","+","+","-","-","-"
"S5","I54","+","+","+","+","+","+","-","-","-","-","-","-","-","-","+","+","+","+","-","-","-","-","+","+","-","-","-","+","+"
"S1","I55","-","+","+","-","-","-","+","-","-","+","-","-","+","+","-","+","+","+","+","-","+","+","+","+","-","-","-","+","-"
"S2","I55","-","-","+","+","+","+","-","+","+","-","-","-","-","-","+","-","-","-","-","-","+","-","+","+","+","-","-","+","+"
"S3","I55","+","+","-","-","-","+","+","-","-","-","+","-","-","+","-","+","-","-","-","+","-","+","-","+","-","+","+","-","-"
"S4","I55","-","+","+","-","-","+","-","+","-","+","-","-","-","+","-","-","+","+","+","+","-","-","-","+","+","-","-","+","-"
"S5","I55","-","+","-","+","+","-","-","-","-","+","-","-","+","+","-","+","+","-","+","+","+","+","-","-","-","-","-","+","+"
"S1","I56","-","-","+","-","+","-","-","+","-","+","+","-","-","-","-","+","-","-","-","+","+","+","+","-","+","-","-","-","+"
"S2","I56","-","+","-","+","+","+","-","+","+","+","-","+","+","+","+","+","-","-","+","+","-","-","+","+","+","+","-","-","-"
"S3","I56","+","+","-","+","-","-","-","-","-","+","+","+","-","+","+","-","-","+","-","+","+","-","+","-","-","+","-","+","-"
"S4","I56","+","-","-","+","-","-","-","-","+","-","-","-","-","+","-","+","+","-","-","+","+","+","-","+","-","-","-","+","+"
"S5","I56","+","+","+","-","+","+","-","+","-","+","+","-","+","+","+","-","-","+","-","-","-","+","-","+","+","-","+","-","+"
"S1","I57","+","-","-","-","+","-","+","-","+","-","+","+","-","-","-","+","-","+","+","-","-","-","+","+","+","-","+","-","+"
