"SEGMENT","REPORT_DATE","SOURCE","INVENTORY_ID","LANGUAGE_CODE_ID","ALTERNATE_NAMES","ROOT","WALS_GENUS","AREA","syllabic","stress","long","consonantal","sonorant","continuant","delayed.release","approximant","tap","trill","nasal","voice","spread.gl","constr.gl","labial","round","labiodental","coronal","anterior","distributed","strident","lateral","dorsal","high","low","front","back","tense"
"b","2012-09-20 03:33:25","PHOIBLE","I1273","ses","Songhay, Koyraboro Senni","nsah","Songhay","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I888","huv","Huave, San Mateo del Mar","huav","Huavean","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1211","hoa","Hoava","anes","Oceanic","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I721","gej","gɛn-mina (Benin)","ncon","Kwa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I785","mgo","metta ","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1126","mnk","Mandingo","ncon","Western Mande","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I906","xrb","Kar","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1042","mzn","Mazanderani","ieur","Iranian","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1040","tav","Tatuyo","tucn","Tucanoan","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I364","iba","IBAN","anes","Malayic","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1185","bch","Bariai","anes","Oceanic","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I139","dag","Dagbani","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I696","dyu","dioula","ncon","Western Mande","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1041","tgw","Tagwana","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I881","gvf","Golin","trng","Chimbu","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I833","toq","toposa","nsah","Nilotic","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I101","cbi","Cayapa","barb","Barbacoan","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1007","kde","Shimakonde","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I953","nnk","Nankina","trng","Finisterre-Huon","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I192","eve","Even","altc","Tungusic","Europe","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I735","izi","ikwo","ncon","Igboid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I510","oru","ORMURI","ieur","Iranian","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I471","mrw","MARANAO","anes","Southern Philippines","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I776","mlq","mande","ncon","Western Mande","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I975","oku","Oku","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I766","lia","limba","ncon","Southern Atlantic","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1100","bci","Baule","ncon","Kwa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I693","dzg","daza","nsah","Western Saharan","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I170","ell","Modern Greek","ieur","Greek","Europe","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I651","ajg","adja (Bénin)","ncon","Kwa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I386","jru","JAPRERIA","cari","Cariban","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I850","dje","zarma ","nsah","Songhay","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1507","xon","Konkomba","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1090","adn","Adang","trng","Greater Alor","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1191","bhw","Biak","anes","South Halmahera - West New Guinea","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I316","efi","EFIK","ncon","Cross River","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1206","oon","Öñge; Ong; Onge","anda","South Andamanese","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I294","ctp","CHATINO","otma","Zapotecan","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I312","dta","DAGUR","altc","Mongolic","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1525","abi","Abidji","ncon","Kwa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I32","zsm","Malay","anes","Malayic","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I571","tet","TETUN","anes","Central Malayo-Polynesian","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I330","fmp","FE?FE?","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I718","gng","gangam","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I990","nyn","Runyankore","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1129","myu","Mundurukú","tupi","Munduruku","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1194","bwq","Bobo","ncon","Western Mande","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I522","pwn","PAIWAN","anes","Paiwanic","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I456","mde","MABA","nsah","Maban","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I634","ykg","YUKAGHIR","yuka","Yukaghir","Europe","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I673","btg","bété","ncon","Kru","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I150","knc","Kanuri","nsah","Western Saharan","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1097","arr","Karo","tupi","Ramarama","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I973","mpt","Mianmin","trng","Ok","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I645","zne","AZANDE","ncon","Ubangi","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1019","ulw","Sumo","misu","Misumalpan","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I60","nas","Nasioi","epap","East Bougainville","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I558","sue","SUENA","trng","Binanderean","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I796","nmz","nawdm","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I727","gux","gulmancema ","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I797","nuv","nʋni","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I728","hag","hanga","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I978","okv","Orokaiva","trng","Binanderean","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1187","dbj","Ida'an","anes","Northwest Malayo-Polynesian","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I779","mwk","maninka-kan","ncon","Western Mande","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1085","duo","Dupaningan Agta; Eastern Cagayan Agta; Dupaninan Agta","anes","Northern Philippines","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I733","ige","igede","ncon","Idomoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I961","nam","Nganikurungkurr","aust","Southern Daly","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I676","nhb","bɛ̀ŋ (ngain)","ncon","Eastern Mande","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1140","ces","Czech","ieur","Slavic","Europe","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I393","kbk","KOIARI","trng","Koiarian","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I908","ken","Kenyang","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1052","gay","Gayo","anes","Gayo","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I686","ncu","chumburung","ncon","Kwa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I202","aey","AMELE","trng","Madang","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I933","mva","Manam","anes","Oceanic","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I633","yii","YIDINY","aust","Pama-Nyungan","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I179","eus","Basque","basq","Basque","Europe","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I636","yor","YORUBA","ncon","Defoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1533","nus","Nuer","nsah","Nilotic","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1179","bbk","Babanki","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I33","btx","Batak","anes","Sumatra","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I786","myk","minyanka","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I333","fvr","FUR","nsah","Fur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1559","mbo","Mbo (Ngwatta)","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1021","zoh","San Miguel Chimalapa Zoque","mizo","Mixe-Zoque","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I37","tgl","Tagalog","anes","Meso-Philippine","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I411","kjd","SOUTHERN KIWAI","trng","Kiwaian","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I992","ndi","Samba Leko","ncon","Adamawa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I646","zoc","ZOQUE","mizo","Mixe-Zoque","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I209","ake","AKAWAIO","cari","Cariban","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1009","bax","Shupamem","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I441","lef","LELEMI","ncon","Kwa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I838","wwa","waama","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1010","sjr","Siar-Lak","anes","Oceanic","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I415","kkw","TEKE","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I679","bim","bimoba","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1068","ruk","Che; Rukuba; Kuche; Bache; Inchazi; Sale","ncon","Platoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1155","qvh","Huallaga (Huanuco) Quechua","quch","Quechuan","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I563","tba","HUARI","arwk","Arawakan","America","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I997","sas","Sasak","anes","Malayic","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I931","mxu","Mada","afas","Biu-Mandara","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","SPA","I173","pst","Pashto","ieur","Iranian","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I417","klu","KLAO","ncon","Kru","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1173","kcl","Kela","anes","Oceanic","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1582","mcu","Mambila","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I237","bak","BASHKIR","altc","Turkic","Europe","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1013","skv","Skou","skoo","Western Skou","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I843","yat","yambɛta","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I685","cme","cerma ","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I824","ttq","tamajaq","afas","Berber","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I317","ekg","EKARI","trng","Wissel Lakes-Kemandoga","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","UPSID","I240","bba","BARIBA","ncon","Gur","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I894","ksi","Isaka","skoo","Krisa","Pacific","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I1526","adj","Adioukrou","ncon","Kwa","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I747","ozm","kɔɔzime","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","PHOIBLE","I986","mlf","Mal","ausa","Khmer","Asia","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
"b","2012-09-20 03:33:25","Chanard","I805","yas","nugunu","ncon","Bantoid","Africa","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","-","-","0","0","0","-","-","0","0","0","0","0"
